fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,1,4,8,0.03488081693649292,1,1,1,100.0,32.88590604026846,[ $class$ [ $1$ ] ]
NA,2,4,8,0.022503104992210865,2,2,3,100.0,37.16216216216216,[ $petal_width \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,3,4,12,0.034055928234010935,2,2,3,100.0,89.79591836734694,[ $petal_length \ge 4.55$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,4,4,16,0.014025728218257427,2,2,3,100.0,89.72602739726028,[ $petal_length \ge 4.55$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,5,4,19,0.02615797007456422,2,2,3,100.0,89.65517241379311,[ $petal_length \ge 4.55$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,6,4,23,0.026624287012964487,2,2,3,100.0,89.58333333333334,[ $petal_length \ge 4.55$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,7,4,26,0.023872138932347298,2,2,3,100.0,89.5104895104895,[ $petal_length \ge 4.55$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,8,4,30,0.028664841782301664,2,2,3,100.0,95.07042253521126,[ $petal_length \ge 4.9$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,9,4,33,0.027274512220174074,2,2,3,100.0,94.32624113475178,[ $petal_length \ge 4.949999999999999$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,10,4,35,0.014207255095243454,2,2,3,100.0,94.28571428571428,[ $petal_length \ge 4.949999999999999$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,11,4,37,0.015037464909255505,2,2,3,100.0,94.24460431654677,[ $petal_length \ge 4.949999999999999$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,12,4,40,0.02791178086772561,2,2,3,100.0,94.20289855072464,[ $petal_length \ge 4.949999999999999$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,13,4,41,0.01872506830841303,2,2,3,100.0,94.16058394160584,[ $petal_length \ge 4.949999999999999$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,14,4,43,0.02683223318308592,2,2,3,100.0,94.11764705882352,[ $petal_length \ge 4.949999999999999$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,15,4,43,0.048120949883013964,2,2,3,100.0,94.07407407407408,[ $petal_length \ge 4.949999999999999$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,16,4,45,0.020380686037242413,2,2,3,100.0,94.02985074626866,[ $petal_length \ge 4.949999999999999$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,17,4,45,0.016345505136996508,2,2,3,100.0,93.98496240601504,[ $petal_length \ge 4.949999999999999$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,18,4,46,0.016865408048033714,2,2,3,100.0,93.93939393939394,[ $petal_length \ge 4.949999999999999$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,19,4,48,0.017222852911800146,2,2,3,100.0,93.89312977099237,[ $petal_length \ge 4.949999999999999$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,20,4,51,0.01862147031351924,2,2,3,100.0,93.84615384615384,[ $petal_length \ge 4.949999999999999$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,22,4,54,0.025034165009856224,2,2,3,100.0,94.53125,[ $petal_length \ge 4.85$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,24,4,56,0.04636099189519882,2,2,3,100.0,94.44444444444444,[ $petal_length \ge 4.85$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,26,4,60,0.39239724399521947,3,3,5,100.0,95.96774193548387,[ $petal_length \ge 4.85$ [ $class$ [ $1$ ] ] [ $petal_width \ge 1.65$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,28,4,63,0.6246794979088008,3,3,5,100.0,95.90163934426229,[ $petal_length \ge 4.85$ [ $class$ [ $1$ ] ] [ $petal_width \ge 1.65$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,30,4,66,0.943918664008379,3,3,5,100.0,95.83333333333334,[ $petal_length \ge 4.85$ [ $class$ [ $1$ ] ] [ $petal_width \ge 1.65$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,32,4,67,0.9382136347703636,2,2,3,96.875,94.91525423728814,[ $petal_length \ge 4.75$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,34,4,68,0.035429748240858316,2,2,3,97.05882352941177,94.82758620689656,[ $petal_length \ge 4.75$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,36,4,71,0.03010972822085023,2,2,3,97.22222222222221,94.73684210526315,[ $petal_length \ge 4.75$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,38,4,74,0.048161306884139776,2,2,3,97.36842105263158,95.53571428571429,[ $petal_width \ge 1.7000000000000002$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,40,4,76,0.03910235781222582,2,2,3,97.5,95.45454545454545,[ $petal_width \ge 1.7000000000000002$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,45,4,82,0.04791767289862037,2,2,3,97.77777777777777,95.23809523809523,[ $petal_width \ge 1.7000000000000002$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,50,4,88,3.6837413050234318,2,2,3,96.0,95.0,[ $petal_length \ge 4.75$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,55,4,93,5.663863667752594,2,2,3,96.36363636363636,94.73684210526315,[ $petal_length \ge 4.75$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,60,4,97,43.3934844667092,3,3,5,98.33333333333333,95.55555555555556,[ $petal_length \ge 4.85$ [ $class$ [ $1$ ] ] [ $petal_width \ge 1.65$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,65,4,98,14.916400680784136,2,2,3,95.38461538461539,95.29411764705881,[ $petal_length \ge 4.75$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,70,4,102,16.56973932357505,2,2,3,95.71428571428572,95.0,[ $petal_length \ge 4.75$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,75,4,104,38.17439224384725,2,2,3,96.0,96.0,[ $petal_width \ge 1.65$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,80,4,105,39.001516301650554,2,2,3,96.25,95.71428571428572,[ $petal_width \ge 1.65$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,85,4,107,40.01340329600498,2,2,3,96.47058823529412,95.38461538461539,[ $petal_width \ge 1.65$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,90,4,107,45.35031653009355,2,2,3,96.66666666666667,95.0,[ $petal_width \ge 1.65$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,100,4,109,24.51145479688421,2,2,3,96.0,94.0,[ $petal_length \ge 4.75$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,110,4,112,32.12443029601127,2,2,3,96.36363636363636,92.5,[ $petal_length \ge 4.75$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,120,4,118,47.507989316713065,2,2,3,96.66666666666667,90.0,[ $petal_length \ge 4.75$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,130,4,122,300.2390391090885,2,2,3,96.92307692307692,85.0,[ $petal_length \ge 4.75$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,140,4,123,74.5706737851724,2,2,3,96.42857142857143,90.0,[ $petal_width \ge 1.65$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
